demand_id,demand_name,market_size,growth_stage,competition_level,expansion_score,seasonality,maturity,overall_score,research_priority,recommended_action
CD000001,Mom Gift,Mega,Growing,High,100.0,Evergreen,Scale Market,86.96,P1,Research Immediately
CD000002,Dad Gift,Mega,Growing,High,100.0,Evergreen,Scale Market,85.45,P1,Research Immediately
CD000003,Girl Gift,Mega,Growing,High,100.0,Evergreen,Scale Market,83.54,P1,Research Immediately
CD000005,Boy Gift,Mega,Growing,High,96.71,Evergreen,Scale Market,82.02,P1,Research Immediately
CD000004,Grandma Gift,Mega,Growing,High,75.33,Evergreen,Established Market,77.94,P2,Expand Existing Portfolio
CD000006,Teacher Gift,Large,Growing,Medium,92.17,Evergreen,Scale Market,76.06,P2,Expand Existing Portfolio
CD000015,Husband Gift,Large,Growing,Medium,87.59,Evergreen,Scale Market,73.38,P2,Expand Existing Portfolio
CD000011,Grandpa Gift,Large,Growing,Medium,66.77,Evergreen,Established Market,69.6,P2,Expand Existing Portfolio
CD000013,Wife Gift,Large,Growing,Medium,66.37,Evergreen,Established Market,69.31,P2,Expand Existing Portfolio
CD000023,Dog Gift,Large,Growing,Medium,49.29,Evergreen,Established Market,65.09,P2,Monitor
CD000034,Coffee Gift,Mid,Growing,Low-Medium,58.64,Evergreen,Growth Market,60.93,P3,Monitor
CD000008,Christmas Mom Gift,Large,Growing,Medium,0.0,Q4 Seasonal,Established Market,59.69,P3,Seasonal Preparation
CD000080,Boy Decor,Mid,Growing,Low-Medium,61.94,Evergreen,Growth Market,59.66,P3,Monitor
CD000026,Cat Gift,Mid,Growing,Medium,47.91,Evergreen,Growth Market,59.3,P3,Monitor
CD000048,Girl Decor,Mid,Growing,Low-Medium,53.37,Evergreen,Growth Market,59.14,P3,Monitor
CD000012,Christmas Dad Gift,Large,Growing,Medium,0.0,Q4 Seasonal,Established Market,58.46,P3,Seasonal Preparation
CD000025,Nurse Gift,Mid,Growing,Medium,43.12,Evergreen,Growth Market,58.36,P3,Monitor
CD000060,Daughter Gift,Mid,Growing,Low-Medium,51.29,Evergreen,Growth Market,58.27,P3,Monitor
CD000016,Christmas Dog Gift,Large,Growing,Medium,0.0,Q4 Seasonal,Established Market,58.22,P3,Seasonal Preparation
CD000018,Christmas Girl,Large,Growing,Medium,0.0,Q4 Seasonal,Established Market,57.99,P3,Seasonal Preparation
CD000019,Christmas Dog,Large,Growing,Medium,0.0,Q4 Seasonal,Established Market,57.96,P3,Seasonal Preparation
CD000020,Christmas Teacher Gift,Large,Growing,Medium,0.0,Q4 Seasonal,Established Market,57.8,P3,Seasonal Preparation
CD000022,Christmas Boy,Large,Growing,Medium,0.0,Q4 Seasonal,Established Market,57.75,P3,Seasonal Preparation
CD000014,Hunting Gift,Large,Established,Medium,27.37,Evergreen,Established Market,57.22,P3,Monitor
CD000052,Soccer Gift,Mid,Growing,Low-Medium,41.16,Evergreen,Growth Market,56.62,P3,Monitor
CD000093,Son Gift,Mid,Growing,Low-Medium,45.76,Evergreen,Growth Market,55.99,P3,Monitor
CD000027,Fishing Gift,Mid,Growing,Low-Medium,31.89,Evergreen,Growth Market,55.86,P3,Monitor
CD000047,Gardening Decor,Mid,Growing,Low-Medium,35.63,Evergreen,Growth Market,55.61,P3,Monitor
CD000007,Mom Wedding,Large,Declining,Medium,31.95,Holiday Seasonal,Mature / Declining,55.37,P3,Seasonal Preparation
CD000024,Dog Apparel,Large,Growing,Medium,0.0,Evergreen,Established Market,55.15,P3,Monitor
CD000029,Gaming Gift,Mid,Growing,Low-Medium,27.57,Evergreen,Growth Market,54.95,P3,Monitor
CD000081,Mom Matching,Mid,Growing,Low-Medium,38.0,Evergreen,Growth Market,54.82,P3,Monitor
CD000038,Gardening Gift,Mid,Growing,Low-Medium,27.93,Evergreen,Growth Market,54.69,P3,Monitor
CD000046,Pickleball Gift,Mid,Growing,Medium,28.0,Evergreen,Growth Market,54.11,P3,Monitor
CD000044,Chef Gift,Mid,Growing,Low-Medium,23.03,Evergreen,Growth Market,53.17,P3,Monitor
CD000071,Camping Gift,Mid,Growing,Low-Medium,25.96,Evergreen,Growth Market,52.79,P3,Monitor
CD000075,Firefighter Gift,Mid,Growing,Low-Medium,23.79,Evergreen,Growth Market,52.16,P3,Monitor
CD000028,Christmas Gardening,Mid,Growing,Low-Medium,0.0,Q4 Seasonal,Growth Market,51.87,P3,Seasonal Preparation
CD000030,Christmas Wife Gift,Mid,Growing,Medium,0.0,Q4 Seasonal,Growth Market,51.74,P3,Seasonal Preparation
CD000032,Christmas Cat,Mid,Growing,Medium,0.0,Q4 Seasonal,Growth Market,51.71,P3,Seasonal Preparation
CD000043,Christmas Grandma Gift,Mid,Growing,Low-Medium,0.0,Q4 Seasonal,Growth Market,51.11,P3,Seasonal Preparation
CD000049,Christmas Girl Gift,Mid,Growing,Low-Medium,0.0,Q4 Seasonal,Growth Market,50.86,P3,Seasonal Preparation
CD000050,Christmas Husband Gift,Mid,Growing,Low-Medium,0.0,Q4 Seasonal,Growth Market,50.81,P3,Seasonal Preparation
CD000054,Christmas Boy Gift,Mid,Growing,Low-Medium,0.0,Q4 Seasonal,Growth Market,50.74,P3,Seasonal Preparation
CD000061,Christmas Coffee,Mid,Growing,Low-Medium,0.0,Q4 Seasonal,Growth Market,50.4,P3,Seasonal Preparation
CD000079,Christmas Cat Gift,Mid,Growing,Low-Medium,0.0,Q4 Seasonal,Growth Market,49.7,Watchlist,Monitor
CD000033,Girl Apparel,Mid,Growing,Medium,0.0,Evergreen,Growth Market,49.23,Watchlist,Monitor
CD000037,Mom Apparel,Mid,Growing,Low-Medium,0.0,Evergreen,Growth Market,49.14,Watchlist,Monitor
CD000065,Teacher Appreciation,Mid,Growing,Low-Medium,0.0,Holiday Seasonal,Growth Market,49.09,Watchlist,Monitor
CD000139,Truck Driver Gift,Mid,Growing,Low-Medium,17.85,Evergreen,Growth Market,49.05,Watchlist,Monitor
CD000109,Cat Decor,Small,Growing,Low-Medium,37.8,Evergreen,Growth Market,48.95,Watchlist,Monitor
CD000041,Cat Apparel,Mid,Growing,Low-Medium,0.0,Evergreen,Growth Market,48.91,Watchlist,Monitor
CD000045,Reading Book Lover Gift,Mid,Growing,Low-Medium,0.0,Evergreen,Growth Market,48.54,Watchlist,Monitor
CD000112,Christmas Grandpa Gift,Mid,Growing,Low-Medium,0.0,Q4 Seasonal,Growth Market,48.52,Watchlist,Monitor
CD000057,Grandma Apparel,Mid,Growing,Low-Medium,0.0,Evergreen,Growth Market,48.14,Watchlist,Monitor
CD000107,Police Officer Gift,Small,Growing,Low,33.46,Evergreen,Growth Market,48.13,Watchlist,Monitor
CD000059,Cat Cat Lover Gift,Mid,Growing,Low-Medium,0.0,Evergreen,Growth Market,48.09,Watchlist,Monitor
