intent_market_node_id,intent,primary_audience_type,primary_audience_value,niche_type,niche_value,recipient,profession,pet,interest,theme,lifestyle,product,customization,holiday,occasion,best_rank,p25_rank,median_rank,top100_count,top500_count,top1000_count,keyword_count,distinct_keyword_count,active_months,strength_score,trend,legacy_market_node_count,example_keywords
IMN000001,unknown,interest,coffee,,,,,,coffee,,,mug,message,halloween,halloween,45,324855.0,657079.0,4.0,31.0,42.0,30161,10319,4,46.65,stable,0,coffee maker | espresso machine | coffee | keurig coffee machine | coffee table | ryze mushroom coffee | coffee pods | coffee grinder | breville espresso machine | ninja coffee maker
IMN000002,unknown,pet,dog,,,,,dog,,,,sweatshirt,name,halloween,halloween,45,332846.0,652403.0,1.0,19.0,37.0,59500,21357,4,46.6,growing,0,dog toys | dog treats | dog bed | yeast infection treatment for dogs | dog food | dog pregnancy test | dog costume | dog halloween costumes | potty training spray for dogs | dog collar
IMN000003,unknown,interest,gaming,,,,,,gaming,,,blanket,,,,48,342668.0,687654.0,2.0,15.0,25.0,8939,3440,4,46.31,growing,0,gaming chair | gaming laptop | gaming pc | gaming desk | gaming monitor | gaming headset | gaming mouse | gaming keyboard | gaming | gaming equipment
IMN000004,gift,recipient,mom,,,mom,,,,,,blanket,name,christmas,christmas,65,280393.75,665676.5,1.0,2.0,3.0,1286,603,4,45.37,growing,3,gift for mom | mom gift | christmas gift for mom | mom christmas gift | gift for mom christmas | mom gift for christmas | mother in law gift | gift for mother in law | mother in law christmas gift | daughter gift from mom
IMN000005,unknown,pet,cat,,,,,cat,,,,sweatshirt,name,halloween,halloween,77,325668.0,653524.0,2.0,20.0,33.0,31829,11461,4,44.37,growing,0,cat toys | cat litter | cat tree | cat deterrent spray | cat food | cat ears | cat water fountain | cat treats | cat toys for indoor cats | cat grass treats
IMN000006,unknown,recipient,boy,,,boy,,,,,,blanket,date,halloween,halloween,111,382441.0,703452.0,0.0,4.0,8.0,37155,15709,4,42.54,declining,2,the boys | stocking stuffers for teen boys | legos for boys age 8 12 | boys halloween costume | advent calendar for boys | stocking stuffers for boys | toys for 1 year old boy | toys for 3 year old boys | boys toys age 8 10 | toddler boy toys
IMN000007,gift,recipient,dad,,,dad,,,,,,,date,christmas,christmas,154,275486.75,592054.5,0.0,2.0,2.0,868,426,4,41.76,growing,2,gift for dad | dad gift | dad christmas gift | christmas gift for dad | papa gift | dad gift for christmas | gift for dad from daughter | dad birthday gift | dad gift from daughter | gift for dad christmas
IMN000008,unknown,interest,yoga,,,,,,yoga,,,blanket,,halloween,halloween,188,317106.5,669004.0,0.0,8.0,9.0,4551,1504,4,40.67,declining,0,crz yoga | yoga mat | crz yoga leggings | yoga pants women | yoga pants | alo yoga dupe | crz yoga shorts | yoga blocks | crazy yoga | yoga ball
IMN000009,unknown,recipient,girl,,,girl,,,,,,blanket,date,halloween,halloween,240,364393.0,688020.0,0.0,2.0,6.0,58857,24860,4,39.37,growing,0,stocking stuffers for teen girls | nobody's girl virginia giuffre | girls halloween costume | advent calendar for girls | halloween costumes for girls | wednesday addams costume girls | toddler girl toys | girl toys | kids boys and girls | girls toys
IMN000010,gift,recipient,girl,,,girl,,,,,,,date,christmas,birthday,455,297560.5,641028.0,0.0,1.0,4.0,6182,2396,4,37.03,growing,0,teen girl gift trendy stuff | gift for teenage girls | stitch gift for girls | teen girl gift | 3 year old girl gift | 1 year old girl gift | gift for girls 8 12 deals | gift for teen girls | gift for 10 year old girl | 10 year old girl gift
IMN000011,unknown,profession,chef,,,,chef,,,,,ornament,,halloween,halloween,450,397580.0,747977.5,0.0,1.0,1.0,2070,889,4,36.57,growing,0,chef preserve compact vacuum sealer | chef preserve | chef preserve vacuum sealer | chef knife | chef costume | chef | chef coat | cook books | cook book | chef boyardee
IMN000012,gift,recipient,grandma,,,grandma,,,,,,blanket,photo,christmas,christmas,666,250051.0,573148.0,0.0,0.0,2.0,424,202,4,35.79,growing,1,grandma gift | gift for grandma | nana gift | grandma christmas gift | great grandma gift | christmas gift for grandma | gift for nana | grammy gift | granddaughter gift from grandma | gift for grandma christmas
IMN000013,gift,recipient,boy,,,boy,,,,,,,date,christmas,birthday,744,307557.0,656663.0,0.0,0.0,3.0,4791,1901,4,34.9,growing,2,gift for teen boys | teen boys gift ideas | 1 year old boy gift | teen boy gift | 10 year old boy gift | 3 year old boy gift | teenage boy gift | gift for 8 year old boys | 12 year old boy gift | gift for boys 8 12
IMN000014,unknown,interest,soccer,,,,,,soccer,,,blanket,date,halloween,halloween,830,340922.0,658172.5,0.0,0.0,2.0,9962,4289,4,34.25,growing,0,football | soccer ball | football cards | football gloves | soccer | soccer goal | football cleats | soccer cleats | soccer socks | football mouth guard
IMN000015,unknown,interest,pickleball,,,,,,pickleball,,,ornament,name,halloween,halloween,838,370675.25,679214.5,0.0,0.0,1.0,2096,728,4,34.07,declining,0,pickleball paddles | paddle board | pickleball balls | pickleball | pickleball bag | pickleball set | pickleball paddles set of 2 | pickleball paddle | jazzminton paddle game with net | pickleball net
IMN000016,unknown,interest,camping,,,,,,camping,,,blanket,,halloween,christmas,948,354194.0,664457.0,0.0,0.0,1.0,5263,1883,4,33.62,declining,0,camping essentials | camping chairs | camping deals | tents for camping | camping | barbie camper | camping tent | camping gear | camping chair | camping cot
