intent,niche_type,niche_value,keyword_count,distinct_keyword_count,best_rank,p25_rank,top100_count,top1000_count,active_months,example_keywords
unknown,interest,coffee,30755,10572,45,325973.0,4.0,42.0,4,coffee maker | espresso machine | coffee | keurig coffee machine | coffee table
unknown,interest,gaming,9193,3571,48,344093.0,2.0,25.0,4,gaming chair | gaming laptop | gaming pc | gaming desk | gaming monitor
unknown,interest,yoga,4581,1515,188,316937.0,0.0,9.0,4,crz yoga | yoga mat | crz yoga leggings | yoga pants women | yoga pants
unknown,theme,floral,10536,3977,277,389047.25,0.0,2.0,4,lego flowers | flowers | flowers for delivery prime | fake flowers | lego flower
unknown,theme,boho,3275,1108,303,375384.5,0.0,4.0,4,boho maxi dress | boho tops for women | boho dresses for women | boho tops | boho fashion
gift,theme,funny,1431,841,714,381817.5,0.0,2.0,4,gag gift | funny gift | gag gift funny adult | funny white elephant gift | gag gift for men
unknown,interest,soccer,10913,4757,830,341415.0,0.0,2.0,4,football | soccer ball | football cards | football gloves | soccer
unknown,interest,pickleball,2097,729,838,370702.0,0.0,1.0,4,pickleball paddles | paddle board | pickleball balls | pickleball | pickleball bag
unknown,interest,camping,5386,1932,948,356151.0,0.0,1.0,4,camping essentials | camping chairs | camping deals | tents for camping | camping
unknown,interest,reading,4918,1632,955,341818.0,0.0,1.0,4,reading glasses for women | sd card reader | reading glasses men | reading light | reading glasses
unknown,interest,gardening,5393,2037,1013,350959.0,0.0,0.0,4,garden clearance deals | garden hose | 100 ft garden hose | over the garden wall | fall garden flag
unknown,interest,hunting,5979,2294,1048,353279.0,0.0,0.0,4,hunting essentials | kpop demon hunter costume | hunting | hunting gear | hunting deals
unknown,theme,american,2791,1107,1295,373257.0,0.0,0.0,4,american girl dolls | american horror story | american flags for outside | the american revolution | american cheese
decor,theme,boho,281,86,1358,268793.0,0.0,0.0,4,best boho chic decor | best boho decor | boho wall decor | boho decor | boho decor deals
gift,theme,faith,417,188,1404,348426.0,0.0,0.0,4,christian gift for women | christian gift | gift for christian women | religious gift for women | christian gift for men
unknown,theme,funny,4615,2346,1430,352527.5,0.0,0.0,4,funny halloween costumes | funny socks | funny slippers | funny socks for men | funny calendar 2026
unknown,theme,retro,2590,1120,1670,402221.25,0.0,0.0,4,retro gaming console | 70s outfits for women | retro snap | retro game console | retro snap game console
unknown,lifestyle,cowgirl,1092,452,1731,345252.0,0.0,0.0,4,cowgirl boots | cowgirl outfits for women | white cowgirl boots | cowgirl costume for girls | cowgirl costume for women
unknown,lifestyle,book lover,1530,507,1881,315483.5,0.0,0.0,4,sd card reader | sd card reader for iphone | square card reader | sd card reader usb c | micro sd card reader
unknown,interest,fishing,4794,1851,2202,373632.25,0.0,0.0,4,fishing | fishing gear | fishing line | fishing advent calendar 2025 | fishing lures
gift,interest,hunting,100,48,2648,277843.5,0.0,0.0,4,demon hunter gift | hunting gift for men | hunting gift | gift for hunter who has everything | mens hunting gift
christmas,theme,vintage,627,339,2763,366919.5,0.0,0.0,4,vintage christmas decor | vintage christmas ornament | vintage christmas wrapping paper | vintage christmas lights | vintage christmas
unknown,theme,patriotic,2160,922,2830,372485.5,0.0,0.0,4,american flag | turning point usa merch | turning point usa | amazon usa | captain america costume kids
apparel,theme,patriotic,320,146,3046,350386.5,0.0,0.0,4,turning point usa shirt | turning point usa hat | make america great again hat | usa shirt | patriotic shirt for women
unknown,theme,watercolor,1823,654,3105,347963.5,0.0,0.0,4,watercolor workbook | watercolor paint set | watercolor paper | tobios watercolor kit | emily lex watercolor workbook
apparel,lifestyle,cowgirl,256,107,3479,312265.0,0.0,0.0,4,cowgirl hat | pink cowgirl hat | cowgirl hats women | cowgirl shirt for women | cowgirl shirt
christmas,theme,funny,736,413,3717,337972.25,0.0,0.0,4,funny christmas shirt | funny christmas sweater | funny christmas ornament | funny christmas cards | funny christmas wrapping paper
gift,lifestyle,book lover,158,64,3820,234129.5,0.0,0.0,4,book lovers gift | gift for book lovers | book lover gift for women | gift for book lovers women | book lover gift
unknown,theme,minimalist,2226,809,4027,400280.0,0.0,0.0,4,simple modern water bottle | clean simple eats protein powder | simple mills | simple modern | simple human trash can
apparel,theme,funny,921,339,4200,418736.0,0.0,0.0,4,funny shirt | funny shirt for men | funny thanksgiving shirt | funny halloween shirt | funny golf shirt for men
unknown,theme,faith,5755,2343,4403,407252.0,0.0,0.0,4,separation of church and hate | little jesus figures | bible verse jar | nacimiento de jesus para navidad | jesus
gift,interest,fishing,92,55,6082,377151.75,0.0,0.0,4,fishing gift for men | fishing gift | fishing gift for boys | funny fishing gift | gift for fishing lovers
christmas,interest,gardening,94,61,6131,384519.25,0.0,0.0,4,christmas garden flag | christmas garden flags for outside | christmas solar kettle lights garden lawn decorative lights | christmas garden flags | garden flag christmas
gift,interest,gaming,130,73,6253,380070.25,0.0,0.0,4,gamer gift | gamer gift for men | gaming gift | gaming gift for men | gamer gift for boys
apparel,theme,american,142,60,7033,313495.75,0.0,0.0,4,american girl doll clothes | american doll clothes | american eagle clothes | american girl clothes | american apparel shirt
gift,interest,coffee,236,134,7133,300063.5,0.0,0.0,4,coffee gift | espresso martini gift | coffee lover gift | coffee gift set | coffee gift basket
decor,theme,vintage,294,105,7176,474542.0,0.0,0.0,4,vintage halloween decor | amazon vintage home decor | vintage decor | vintage wall decor | vintage wall art
decor,interest,soccer,213,88,7291,285612.0,0.0,0.0,4,football party decorations | football decor | football decorations | soccer party decorations | football decorations for party
gift,interest,gardening,113,60,7527,288313.0,0.0,0.0,4,olive garden gift card | gardening gift | gardening gift for women | garden gift | plant lover gift
apparel,theme,faith,854,284,7861,345794.75,0.0,0.0,4,christian shirt for women | jesus shirt | faith over fear hoodie | christian shirt for men | jesus hoodie
decor,theme,floral,269,97,8354,351532.0,0.0,0.0,4,fall flowers artificial for decoration | flowers for decoration | edible flowers cake decorations | flower wall decor | botanical wall art
gift,interest,reading,94,36,10421,279612.0,0.0,0.0,4,book lover gift for women | book lover gift | unique gift for book lover | book reader gift | reading gift
gift,interest,pickleball,39,17,10568,167544.0,0.0,0.0,4,pickleball gift | pickleball gift for women | pickleball gift for men | cool gift for pickleball players | gift for pickleball lovers
decor,interest,gardening,126,56,10732,335086.25,0.0,0.0,4,garden decor | garden decor for outside | solar watering can with cascading lights outdoor garden decor | solar garden decor | outdoor garden decor
decor,interest,coffee,189,61,11241,370702.0,0.0,0.0,4,coffee table decor | coffee bar decor | coffee bar sign | coffee decor | coffee sign
gift,interest,soccer,291,138,11357,356753.0,0.0,0.0,4,soccer gift | soccer gift for boys | football gift | soccer gift for boys 8 12 | football gift for boys 8 12
apparel,theme,boho,106,34,11516,273041.5,0.0,0.0,4,boho womens clothing winter | boho chic clothing | boho clothes for women | bohemian clothes for women | boho shirt for women
birthday,theme,funny,170,61,11704,584110.75,0.0,0.0,4,funny birthday cards for women | funny birthday cards for men | funny birthday card | funny birthday cards | birthday card funny
apparel,interest,soccer,338,182,13304,432978.75,0.0,0.0,4,football shirt for women | soccer mom shirt | football mom shirt | football shirt | football kicking shirt
gift,lifestyle,cat lover,93,35,13410,155552.0,0.0,0.0,4,gift for cat lovers | cat lover gift for women | cat lover gift | cat mom gift | cat dad gift
christmas,interest,coffee,249,130,14124,372971.0,0.0,0.0,4,christmas coffee mug | christmas coffee cups | christmas coffee cups disposable | christmas coffee | christmas coffee table book
gift,lifestyle,dog lover,69,27,14161,147045.0,0.0,0.0,4,dog mom gift for women | dog mom gift | gift for dog lovers | dog lovers gift for women | dog lover gift
christmas,theme,floral,299,171,14203,376295.0,0.0,0.0,4,christmas flowers | christmas flowers artificial | artificial christmas flowers | poinsettias artificial christmas flowers | christmas floral picks
apparel,interest,fishing,263,85,14556,331298.5,0.0,0.0,4,fishing shirt for men | fishing shirt | fishing hat | mens fishing shirt | huk fishing shirt for men
matching,interest,coffee,21,11,15041,412653.0,0.0,0.0,4,espresso brown matching set | coffee brown matching set | his and hers coffee mug set | his and hers coffee mug | couples coffee mug set
unknown,theme,vintage,3937,1501,17518,446144.0,0.0,0.0,4,vintage furniture deals | vintage ornament | vintage | star wars vintage collection | vintage lamp
gift,theme,american,49,23,17727,462655.0,0.0,0.0,4,american eagle gift card | american eagle gift card 50 | native american gift | american girl gift card | american express gift cards
gift,interest,camping,43,24,17729,410419.0,0.0,0.0,4,camping gift | camping gift for men | camping gift for women | camper gift | camping gift ideas
gift,lifestyle,coffee lover,51,21,18646,223508.0,0.0,0.0,4,coffee lover gift | gift for coffee lovers | coffee lover gift for women | coffee lovers gift | gift for coffee lovers women
matching,theme,funny,138,89,20094,423177.75,0.0,0.0,4,funny couples halloween costumes | funny couple costumes | couples halloween costumes 2025 funny | funny couples costumes | couple costumes for adults funny
anniversary,theme,patriotic,69,28,21635,356577.0,0.0,0.0,4,250 anniversary usa hat | 250th anniversary usa hat | 250th anniversary hat made in usa | america 250th anniversary hat | usa 250th anniversary hat
unknown,lifestyle,dog lover,51,34,22596,512568.5,0.0,0.0,4,dog mom | dog dad | dog mom mug | dog lover | dog mom socks
christmas,theme,faith,413,235,22778,425271.0,0.0,0.0,4,religious christmas cards | christian christmas cards | christmas cards religious | religious christmas cards with envelopes | christian christmas decor
apparel,interest,hunting,426,151,23026,405974.75,0.0,0.0,4,hunting clothes for men | hunting clothes | orange hunting hat | tidewe hunting clothes | womens hunting clothes
personalized,interest,coffee,92,39,24216,278186.25,0.0,0.0,4,custom coffee mug | personalized coffee mug | personalized coffee tumbler | custom coffee tumbler | customized coffee mug
decor,theme,faith,246,96,24253,279766.0,0.0,0.0,4,christian wall art | jesus wall art | christian trunk or treat car decorations kit | christian decor | christian wall decor
apparel,interest,coffee,46,19,30781,484259.75,0.0,0.0,4,espresso brown clothes | coffee brown clothes | coffee weather sweatshirt | espresso martini shirt | espresso martini sweatshirt
decor,theme,funny,192,82,31058,404542.0,0.0,0.0,4,funny bathroom wall art | funny desk decor | funny bathroom decor | funny office decor | funny desk signs
decor,interest,gaming,135,55,31267,346294.5,0.0,0.0,4,gaming room decor | gamer room decor for boys | gaming decor | gamer room decor | gaming wall decor
christmas,theme,boho,62,38,31623,423385.0,0.0,0.0,4,boho christmas decor | boho christmas ornament | boho christmas | boho christmas stockings | boho christmas tree skirt
unknown,lifestyle,cat lover,76,46,33754,307582.75,0.0,0.0,4,cat dad | cat mom | cat lover | cat mug for cat lovers | cat lovers
christmas,theme,retro,90,50,40310,380051.0,0.0,0.0,4,retro christmas decor | retro christmas ornament | retro christmas lights | retro christmas wrapping paper | old school christmas lights
apparel,lifestyle,cat lover,22,10,44026,398612.5,0.0,0.0,4,cat dad shirt | cat mom shirt | cat dad club shirt | cat mom sweatshirt | cat dad hat
wedding,interest,coffee,3,1,47895,148649.5,0.0,0.0,2,espresso brown wedding guest dress
personalized,interest,soccer,69,30,47943,358357.0,0.0,0.0,4,custom football jersey | custom jersey football | custom soccer jersey | custom football shirt | personalized football ornament
