intent,product,keyword_count,distinct_keyword_count,best_rank,p25_rank,top100_count,top1000_count,active_months,example_keywords
unknown,blanket,20390,7545,11,330052.25,3.0,19.0,4,heated blanket | blanket | weighted blanket | electric blanket | throw blanket
christmas,sweatshirt,3129,1927,106,367569.0,0.0,6.0,4,ugly christmas sweater women | ugly christmas sweater | christmas sweater | ugly christmas sweater men | christmas sweater men
christmas,ornament,8447,4164,119,381032.0,0.0,2.0,4,christmas ornament | christmas tree ornament | christmas ornament set | red christmas ornament | velvet christmas ornament
apparel,shirt,64727,21842,194,375714.0,0.0,12.0,4,long sleeve shirt for women | charlie kirk shirt | halloween shirt for women | carhartt shirt for men | thanksgiving shirt for women
unknown,sweatshirt,15662,6579,228,364719.0,0.0,6.0,4,sweater dress | sweater dress for women | dog sweater | mens sweater | ugly sweater
unknown,tumbler,4387,1627,532,349883.0,0.0,2.0,4,yeti tumbler | tumbler | owala coffee tumbler | coffee tumbler | rock tumbler
unknown,tote bag,4456,1570,664,358458.25,0.0,3.0,4,tote bag | tote bag for women | canvas tote bag | tote bags | marc jacobs tote bag
christmas,shirt,2179,930,667,360636.5,0.0,1.0,4,christmas shirt for women | christmas shirt | funny christmas shirt | christmas shirt for men | mens christmas shirt
unknown,ornament,9779,4860,687,395237.0,0.0,3.0,4,ornament storage box | ornament hooks | ornament | ornament storage | 67 ornament
apparel,hoodie,12890,5360,694,355549.0,0.0,1.0,4,essentials hoodie | hoodie | blanket hoodie | nike hoodie | mens hoodie
unknown,phone case,8603,2761,720,346806.0,0.0,4.0,4,phone case | iphone 11 phone case | iphone 17 phone case | iphone case | phone case iphone 15
personalized,blanket,400,155,797,308983.0,0.0,1.0,4,custom blanket | personalized blanket | customized blanket | custom blanket with picture | personalized baby blanket
unknown,mug,7820,3342,900,387785.75,0.0,1.0,4,coffee mug | yeti coffee mug | mug warmer | ember mug | travel coffee mug
christmas,blanket,451,247,1096,366222.0,0.0,0.0,4,christmas blanket | christmas throw blanket | christmas blanket and throws | snow blanket for christmas village | pink christmas blanket
decor,poster,7589,2628,1264,393585.0,0.0,0.0,4,wall art | bathroom wall art | poster board | stranger things poster | 24x36 poster frame
apparel,sweatshirt,8742,3726,1360,398995.0,0.0,0.0,4,sweatshirt for women | mens sweatshirt | mock neck sweatshirt | womens sweatshirt | halloween sweatshirt
personalized,shirt,392,97,2165,398503.25,0.0,0.0,4,custom shirt | customized shirt | custom shirt for men | custom dog shirt | custom shirt for women
unknown,poster,4562,1779,2389,406899.5,0.0,0.0,4,cheetah print top | cheetah print shorts | instant print camera | kids camera instant print | leopard print tops for women
christmas,mug,263,102,4308,361231.5,0.0,0.0,4,christmas mug | christmas coffee mug | christmas mug set of 4 | moose mug christmas vacation | christmas mug set of 6
personalized,ornament,389,170,4320,415450.0,0.0,0.0,4,personalized christmas ornament | personalized ornament | custom ornament | custom christmas ornament | personalized ornament for christmas
christmas,poster,188,124,4752,426985.5,0.0,0.0,4,christmas wall art | christmas canvas wall art | framed christmas wall art | christmas framed wall art | christmas wall art canvas
christmas,phone case,118,73,10886,390577.75,0.0,0.0,4,christmas phone case | christmas phone case iphone 16 pro max | christmas phone case iphone 15 | christmas phone case iphone 16 pro | christmas phone case iphone 16
personalized,mug,155,65,12294,264008.5,0.0,0.0,4,custom mug | custom coffee mug | personalized coffee mug | personalized mug | custom mug with pictures
gift,shirt,38,20,14537,337734.5,0.0,0.0,4,shirt boxes for presents | shirt boxes for gift | shirt gift boxes | shirt gift boxes for presents | shirt boxes for wrapping gift
christmas,tumbler,85,47,15553,324137.0,0.0,0.0,4,christmas tumbler | simple modern christmas tumbler | christmas tumbler with handle | nightmare before christmas tumbler | christmas tumbler 40oz
personalized,poster,53,20,17242,449578.0,0.0,0.0,4,custom poster | custom poster print | poster custom | custom wall art | custom poster 24x36
christmas,hoodie,65,38,20959,346776.0,0.0,0.0,4,christmas hoodie | christmas hoodie men | nightmare before christmas hoodie | ugly christmas hoodie | mens christmas hoodie
personalized,hoodie,43,16,21138,434586.0,0.0,0.0,4,custom hoodie | customized hoodie | personalized hoodie | custom hoodie for men | custom zip up hoodie
birthday,shirt,527,190,24109,488944.0,0.0,0.0,4,birthday girl shirt | birthday shirt for women | birthday boy shirt | birthday shirt | its my birthday shirt women
gift,blanket,57,36,29042,490189.0,0.0,0.0,4,cozy blanket for women gift | blanket gift set | blanket gift | grandma blanket gift | blanket gift box
apparel,poster,56,21,30396,560525.25,0.0,0.0,4,animal print clothes | deer print clothes | cheetah print clothes | leopard print santa hat | cheetah print hat
personalized,sweatshirt,95,42,30983,344020.5,0.0,0.0,4,custom sweatshirt | custom sweater | custom christmas sweater | custom ugly christmas sweater | personalized sweatshirt for women
gift,poster,110,44,31749,273601.0,0.0,0.0,4,print at home gift cards from amazon | gift card print at home | amazon gift cards print at home | amazon gift card print at home | cow print gift
matching,sweatshirt,89,46,33579,435946.0,0.0,0.0,4,couples ugly christmas sweater | ugly christmas sweater couples | couple ugly christmas sweater | christmas ugly sweater couples | ugly christmas sweater couple
matching,shirt,318,142,34897,378285.25,0.0,0.0,4,couples christmas shirt | matching christmas shirt | i come in peace im peace couples shirt | chest nuts couples shirt | couples halloween shirt
personalized,phone case,48,17,50258,478079.0,0.0,0.0,4,custom phone case | customized phone case | personalized phone case | custom iphone case | custom phone case iphone 16
personalized,tumbler,80,33,53274,325923.75,0.0,0.0,4,personalized tumbler | custom tumbler | personalized coffee tumbler | custom coffee tumbler | custom tumbler personalized
