intent,recipient,keyword_count,distinct_keyword_count,best_rank,p25_rank,top100_count,top1000_count,active_months,example_keywords
gift,mom,1327,629,65,287566.5,1.0,3.0,4,gift for mom | mom gift | christmas gift for mom | mom christmas gift | gift for mom christmas
unknown,boy,38021,16146,111,382441.0,0.0,8.0,4,the boys | stocking stuffers for teen boys | legos for boys age 8 12 | boys halloween costume | advent calendar for boys
gift,dad,946,470,154,290021.25,0.0,2.0,4,gift for dad | dad gift | dad christmas gift | christmas gift for dad | papa gift
unknown,girl,60373,25556,240,365351.0,0.0,6.0,4,stocking stuffers for teen girls | nobody's girl virginia giuffre | girls halloween costume | advent calendar for girls | american girl dolls
gift,girl,6277,2436,455,299235.0,0.0,4.0,4,teen girl gift trendy stuff | gift for teenage girls | stitch gift for girls | teen girl gift | 3 year old girl gift
gift,grandma,438,213,666,252961.0,0.0,2.0,4,grandma gift | gift for grandma | nana gift | grandma christmas gift | great grandma gift
gift,boy,4908,1963,744,307287.0,0.0,3.0,4,gift for teen boys | teen boys gift ideas | 1 year old boy gift | teen boy gift | 10 year old boy gift
gift,teacher,395,226,1015,360624.0,0.0,0.0,4,teacher gift | teacher christmas gift | teacher gift for women | teacher gift bulk | teacher gift for christmas
wedding,mom,385,170,1077,391504.0,0.0,0.0,4,mother of bride dresses | mother of the bride dresses | mother of the bride dresses for women | mother of the groom dresses | mother of the bride dress
unknown,dad,2307,1081,1149,354583.0,0.0,0.0,4,scrub daddy sponges | scrub daddy | battery daddy | rich dad poor dad | dad i want to hear your story
apparel,boy,5748,2214,1323,385349.0,0.0,0.0,4,baby boy clothes | toddler boy clothes | boys clothes | 2t boys clothes | newborn boy clothes
apparel,girl,5796,2207,1586,363295.25,0.0,0.0,4,baby girl clothes | girls clothes | toddler girl clothes | american girl doll clothes | newborn girl clothes
gift,grandpa,130,67,2236,304482.5,0.0,0.0,4,grandpa gift | gift for grandpa | grandpa christmas gift | christmas gift for grandpa | best grandpa gift
gift,wife,318,151,2513,256882.0,0.0,0.0,4,gift for wife | wife christmas gift ideas | christmas gift for wife | wife gift | practical gift for wife
gift,husband,370,157,2778,241981.5,0.0,0.0,4,gift for husband | husband gift | gift for husband christmas | husband christmas gift | christmas gift for husband
christmas,girl,1721,932,3240,405255.0,0.0,0.0,4,girls christmas dress | girls christmas pajamas | christmas dresses for girls | girls christmas sweater | girls christmas outfit
christmas,boy,1104,622,3723,413334.0,0.0,0.0,4,boys christmas pajamas | boys christmas sweater | babys first christmas ornament 2025 boy | boys christmas shirt | my first christmas baby boy outfit
unknown,nurse,1252,493,3830,332813.25,0.0,0.0,4,nurse costume | nurse essentials | nurse costume woman | nurse jackie | silent hill nurse costume
unknown,husband,2689,970,3899,362368.0,0.0,0.0,4,mr clean magic erasers | mr beast toys | mr potato head | mr beast | marry my husband
unknown,mom,4192,1776,4469,355989.0,0.0,0.0,4,frida mom postpartum | scrub mommy | mom | mom i want to hear your story | stocking stuffers for mom
unknown,wife,2204,881,4870,338283.0,0.0,0.0,4,mrs meyers hand soap | stocking stuffers for wife | mr and mrs smith | mrs meyers multi surface cleaner | marvelous mrs maisel
gift,nurse,140,63,5255,265460.5,0.0,0.0,4,nurse gift | nurse gift for women | nurse practitioner gift for women | nurse practitioner gift | rn gift for nurses
unknown,teacher,1184,513,5532,308084.0,0.0,0.0,4,teacher outfits for women | teacher lanyard | teacher supplies | teacher deals | teacher shoes
apparel,mom,422,185,7388,356219.25,0.0,0.0,4,mama sweatshirt | soccer mom shirt | football mom shirt | mama shirt | mom sweatshirt
apparel,teacher,279,127,7592,379299.5,0.0,0.0,4,teacher shirt | teacher clothes | teacher halloween shirt | halloween teacher shirt | teacher shirt for women
unknown,son,442,195,7864,388180.5,0.0,0.0,4,the son | son | the good son | son in law | a mother's son
decor,girl,862,284,10826,360399.0,0.0,0.0,4,room decor for teen girls | girls room decor | teen girl room decor | girls bedroom decor | girl room decor
unknown,grandma,1130,590,11271,387152.0,0.0,0.0,4,grandma | granny pants yard game | granny smith apples | grandma costume | grandma got run over by a reindeer
unknown,grandpa,309,166,12323,403164.0,0.0,0.0,4,grandpa gus mouse repellent pouches | grandpa | grandpa gus | grandpa mug | grandpa sweater
apparel,grandma,144,59,13048,300242.75,0.0,0.0,4,grandma sweatshirt | nana sweatshirt | grandma shirt | nana shirt | coastal grandma clothes
gift,daughter,202,90,14014,327115.5,0.0,0.0,4,daughter in law gift | gift for daughter | daughter gift | gift for daughter in law | bonus daughter gift
gift,dog mom,18,8,14161,102495.25,0.0,0.0,4,dog mom gift for women | dog mom gift | gift for dog mom | best dog mom gift | dog mama gift
appreciation,teacher,36,16,15075,378194.25,0.0,0.0,4,teacher appreciation gift | teacher appreciation gift in bulk | teacher appreciation gift bulk | daycare teacher appreciation gift | teacher thank you cards
birthday,girl,1169,381,16064,358322.0,0.0,0.0,4,18th birthday decorations for girls | birthday girl shirt | 13th birthday decorations for girls | birthday girl | 10th birthday decorations for girl
anniversary,husband,27,9,16207,203091.5,0.0,0.0,4,anniversary card to husband | anniversary card for husband | anniversary cards for husband | husband anniversary card | funny anniversary cards for husband
wedding,dad,22,10,16341,404617.25,0.0,0.0,4,father of the bride | father of the bride 2 | father of the bride dvd | father of the groom | father of the bride socks
apparel,dad,391,162,16906,360809.5,0.0,0.0,4,dad hat | dad shirt | funny dad shirt | cat dad shirt | papa shirt
apparel,daughter,37,18,17322,200174.0,0.0,0.0,4,awesome like my daughter shirt | favorite daughter sweatshirt | awesome like my youngest daughter shirt | favorite daughter hat | favorite daughter shirt
