opportunity_id,demand_id,demand_name,intent,recipient,profession,interest,pet,occasion,holiday,best_rank,p25_rank,median_rank,keyword_count,active_months,trend,demand_strength_score,rank_quality_score,trend_score,active_month_score,evidence_score,competition_score,product_gap_score,internal_gap_score,opportunity_score,priority,evidence_keywords,recommendation_note
OP000001,CD000001,Mom Gift,gift,mom,,,,,,65,339406.0,682048.0,2863,4,growing,100.0,100.0,100.0,100.0,50.75,0.0,0.0,0.0,95.08,P1,gift for mom | mom gift | gift for mom | mother of bride dresses | mother of bride dresses | christmas gift for mom | gift for mom | mom christmas gift,Growing demand with strong best-rank signal.
OP000002,CD000003,Girl Gift,gift,girl,,,,,,455,344795.0,684346.0,16122,4,growing,86.45,82.61,100.0,100.0,100.0,0.0,0.0,0.0,91.1,P1,teen girl gift trendy stuff | gift for teenage girls | teen girl gift trendy stuff | stitch gift for girls | teen girl gift | baby girl clothes | gift for teenage girls | gift for teenage girls,Growing demand with strong best-rank signal.
OP000003,CD000002,Dad Gift,gift,dad,,,,,,154,328055.5,662600.5,1660,4,growing,94.25,92.62,100.0,100.0,34.83,0.0,0.0,0.0,89.71,P1,gift for dad | dad gift | gift for dad | dad gift | dad christmas gift | gift for dad | christmas gift for dad | papa gift,Growing demand with strong best-rank signal.
OP000004,CD000004,Grandma Gift,gift,grandma,,,,,,666,288795.5,647903.0,718,4,growing,84.77,80.37,100.0,100.0,25.74,0.0,0.0,0.0,82.56,P2,grandma gift | gift for grandma | nana gift | gift for grandma | grandma gift | gift for grandma | grandma christmas gift | grandma sweatshirt,Growing demand with strong best-rank signal.
OP000005,CD000005,Teacher Gift,gift,,teacher,,,,,1015,369036.5,688020.0,796,4,growing,80.59,75.1,100.0,100.0,15.92,0.0,0.0,0.0,78.85,P2,teacher gift | teacher christmas gift | teacher gift | teacher gift for women | teacher shirt | teacher gift | teacher appreciation gift | teacher christmas gift,Growing demand with strong best-rank signal.
OP000006,CD000007,Wife Gift,gift,wife,,,,,,2513,276596.0,618485.0,561,4,growing,75.9,68.96,100.0,100.0,11.44,0.0,0.0,0.0,75.3,P2,gift for wife | wife christmas gift ideas | christmas gift for wife | wife gift | gift for wife | gift for wife | practical gift for wife | gift for wife christmas,Growing demand with strong best-rank signal.
OP000007,CD000006,Grandpa Gift,gift,grandpa,,,,,,2236,353690.75,672138.0,206,4,growing,75.37,68.39,100.0,100.0,11.94,0.0,0.0,0.0,75.02,P2,grandpa gift | gift for grandpa | grandpa gift | gift for grandpa | gift for grandpa | grandpa shirt | grandpa gift | grandpa christmas gift,Growing demand with strong best-rank signal.
OP000008,CD000008,Husband Gift,gift,husband,,,,,,2778,316086.0,635441.0,689,4,growing,74.52,67.26,100.0,100.0,13.74,0.0,0.0,0.0,74.63,P2,gift for husband | husband gift | gift for husband | gift for husband christmas | husband christmas gift | gift for husband | anniversary card to husband | husband gift,Growing demand with strong best-rank signal.
OP000009,CD000009,Cat Lover Gift,gift,,,cat lover,,,,5328,161629.5,489095.5,86,4,growing,73.71,65.98,100.0,100.0,6.67,0.0,0.0,0.0,73.35,P2,gift for people who love cats | gift for cat lovers | cat lover gift for women | cat lover gift | cat gift for cat lovers | gift for cat lovers | cat lover gift for women | gift for people who love cats,Growing demand with strong best-rank signal.
OP000010,CD000010,Gardening Gift,gift,,,gardening,,,,7831,311767.0,646646.5,64,4,growing,67.37,58.07,100.0,100.0,6.23,0.0,0.0,0.0,69.19,P3,gardening gift | gardening gift for women | gardening gift | plant lover gift | gardening gift for women | plant lover gift for women | gardening gift for men | gardening gift,"Qualified demand signal; review niche, product gap, and catalog fit."
OP000011,CD000012,Soccer Gift,gift,,,soccer,,,,11357,359281.75,644448.0,282,4,growing,64.16,54.02,100.0,100.0,8.43,0.0,0.0,0.0,67.31,P3,soccer gift | soccer gift | soccer gift | soccer birthday party decorations | soccer gift | soccer gift bags | soccer party decorations | soccer birthday party decorations,"Qualified demand signal; review niche, product gap, and catalog fit."
OP000012,CD000011,Reading Gift,gift,,,reading,,,,10421,386180.0,711780.0,129,4,growing,64.18,54.05,100.0,100.0,7.26,0.0,0.0,0.0,67.21,P3,book lover gift for women | book lover gift | book lover gift for women | book lover gift | unique gift for book lover | book lover gift for women | reading gift | book lover gift for women,"Qualified demand signal; review niche, product gap, and catalog fit."
