portfolio_id,parent_demand,market_size,child_segment_count,average_opportunity_score,best_child_score,expansion_potential,portfolio_stage,research_priority,coverage_score,investment_recommendation
PF000001,Gardening Gift,Mid,13,68.85,80.04,77.28,Growing,P1,59.09,Invest Aggressively
PF000002,Wife Gift,Large,12,69.59,80.76,76.53,Mature,P1,44.44,Invest Aggressively
PF000003,Husband Gift,Large,19,71.41,81.33,74.97,Saturated,P1,67.86,Invest Aggressively
PF000004,Cat Lover Gift,Large,21,74.31,82.34,73.09,Saturated,P1,75.0,Expand
PF000005,Teacher Gift,Large,22,73.23,81.94,71.91,Saturated,P1,78.57,Expand
PF000006,Grandma Gift,Mega,14,68.02,78.86,82.36,Growing,P2,41.18,Expand
PF000007,Coffee Lover Gift,Mid,12,71.37,77.95,74.9,Mature,P2,57.14,Expand
PF000008,Grandpa Gift,Large,5,69.03,74.96,72.43,Mature,P2,20.0,Expand
PF000009,Daughter Gift,Mid,12,66.29,73.72,68.84,Growing,P2,60.0,Expand
PF000010,Soccer Gift,Mid,11,67.88,73.75,67.87,Growing,P2,55.0,Expand
PF000011,Dog Lover Gift,Mid,20,70.55,79.3,67.55,Saturated,P2,90.91,Maintain
PF000012,Mom Gift,Mega,40,69.18,79.72,64.93,Saturated,P2,100.0,Maintain
PF000013,Dad Gift,Mega,40,69.71,78.87,64.72,Saturated,P2,100.0,Maintain
PF000014,Girl Gift,Mega,56,69.79,78.54,64.64,Saturated,P2,100.0,Maintain
PF000015,Reading Gift,Mid,7,65.76,73.23,63.99,Growing,P2,36.84,Expand
PF000016,Camping Gift,Mid,6,65.06,70.87,66.49,Growing,P3,31.58,Monitor
PF000017,Son Gift,Small,10,63.09,69.05,60.16,Growing,P3,71.43,Monitor
PF000018,Hairstylist Gift,Small,2,66.81,68.82,55.23,Growing,P3,18.18,Monitor
PF000019,Electrician Gift,Small,2,64.31,67.79,51.52,Growing,P3,18.18,Monitor
PF000020,Realtor Gift,Small,3,60.73,63.43,51.15,Growing,P3,27.27,Monitor
PF000021,Accountant Gift,Small,3,60.37,61.01,45.79,Growing,P3,27.27,Monitor
